epoch,g_loss,d_loss,epoch_time_s
1,-1058.8169137291286,-785.7160813912102,614.2407529354095
2,-1126.466499992039,-1040.2952628757644,606.767009973526
3,-1395.6774345066237,-950.495689060377,602.6562423706055
4,-1309.7309066109035,-1257.433814007303,598.6925287246704
5,-2666.7157115106997,-1758.7579027258832,597.8335161209106
6,-3689.5240425441575,-1054.3771415378737,618.7679438591003
7,-4133.9364332116165,-1011.299673329229,608.1997497081757
8,-3461.5671652088995,-813.7058928116509,614.8162043094635
9,-4085.2254028320312,-1309.727414338485,588.8585269451141
10,-2151.7843379145083,-519.9340969583262,595.0355222225189
11,-1422.0848786727242,-703.1818025008491,591.3294184207916
12,-3617.416958021081,-1241.8455472199814,598.2798759937286
13,-639.5529605202053,-433.6547188136889,592.3454647064209
14,-880.0103967086128,-709.6391674539317,595.3179948329926
15,-2774.358695652174,-633.5744602369225,598.2061493396759
16,-882.960025123928,-672.0840812351393,590.0885474681854
17,-3134.3479620892067,-1196.4432286801546,596.8665482997894
18,-367.2220336250637,-472.9793585072393,602.4503374099731
19,-928.980926524038,-184.51641381305197,666.9295043945312
20,-249.89403869794762,-247.30098094110903,677.3082356452942
21,-3179.945088428,-1210.8260617463486,683.7355265617371
22,-1437.6172425643258,-529.6071492070737,690.7595114707947
23,-2187.5777295983357,-344.2597984645678,689.8616428375244
24,-1743.3441732655401,-668.5929465915846,713.2240815162659
25,-6214.868312669837,-2046.3843834918478,687.3147439956665
26,-4452.392060653023,-1241.3707275390625,678.2976891994476
27,-217.25405218290246,-312.2510863594387,677.6583075523376
28,-209.34491824067157,-218.99504553753397,697.0127453804016
29,174.20745569726697,-209.5710747760275,713.1224188804626
30,-926.7306697679603,-280.5743942260742,665.9262392520905
31,-36.37219702679178,-278.75072213877803,683.0637319087982
32,-1112.990570400072,-319.7781246019446,687.6838765144348
33,83.17746647544529,-269.928514563519,685.4400317668915
34,9.33372509997824,-263.70082689368206,659.1667182445526
35,-850.6624045993971,-251.28717007844344,651.1575150489807
36,-1034.323269288177,-700.3329680069634,663.9330983161926
37,-1771.2906577068827,-566.4804667597232,685.9907681941986
38,-363.50092045120573,-250.81647789996603,662.4812469482422
39,-628.4414221307505,-330.22679901123047,665.4900784492493
40,-1440.4510338824728,-285.27001621412194,692.2247898578644
41,-1085.2421981148098,-465.34309519892156,666.169759273529
42,-1121.0572463325832,-506.9307841425357,676.4201562404633
43,-598.9730493296747,-313.28142812977666,666.0504097938538
44,-1398.3613984170167,-661.4105708910072,676.4971585273743
45,-1398.1458912725034,-340.5412073550017,669.2430737018585
46,-341.8430598715077,-397.61531199579656,686.6597893238068
47,-1431.9833989765334,-436.50375896951425,668.2582733631134
48,-873.2555883656378,-260.14653446363366,676.6148118972778
49,194.04866450765857,-1284.8312490712042,679.8873314857483
50,-2633.7713384213653,-536.1966794884723,699.5238778591156
