epoch,g_loss,d_loss,epoch_time_s
1,-665.8313030263652,-464.37866867106897,621.4022860527039
2,-1669.9138037640116,-1052.2424926757812,607.0907068252563
3,-556.2011605397514,-731.6803164274796,606.5719282627106
4,-2081.165926725968,-1695.4461298403533,588.2541708946228
5,-1997.1878277322521,-968.5820584504501,590.9096148014069
6,-4167.387090268342,-1231.4926306683085,606.9359171390533
7,-4223.5702859629755,-1243.1314750339675,610.6401627063751
8,-2114.0109667570696,-1146.7353495722232,635.4341084957123
9,-2399.457859205163,-1538.2370565663214,600.4077816009521
10,-1062.259412019149,-420.83086561120075,605.7634038925171
11,-3978.8141373344088,-865.7872928121816,616.8309948444366
12,-3388.678952237834,-953.9843895953635,631.1518633365631
13,-2672.4255583389945,-787.7780934209409,593.2177624702454
14,-961.2025431757388,-840.8822658372962,613.7172405719757
15,-1632.2417867909307,-473.19207133417547,601.2082962989807
16,-1283.948366911515,-295.8914801556131,657.6869196891785
17,-1481.8004468834918,-232.6773913839589,614.2467024326324
18,-2240.0177293860393,-303.42956277598506,660.2605972290039
19,-1878.3494727093241,-414.12319050664485,631.4054577350616
20,-4118.9726934018345,-1084.9144167692764,593.6874244213104
21,-2493.915978473166,-511.6876499341882,616.4077661037445
22,-1809.2819917098336,-350.8550968999448,608.4430260658264
23,-782.7922821044922,-401.84424159837806,589.7715973854065
24,-2009.95923382303,-626.2495992909307,590.6190149784088
25,-1525.5505875297215,-408.38843005636465,588.8254284858704
26,-767.7740312659222,-303.0579727836277,581.8132848739624
27,-1774.7180733058763,-450.937163643215,575.2513089179993
28,-1275.1974266715672,-539.1640515534774,574.7302324771881
29,-2245.0361407736073,-962.5496613875679,573.0960867404938
30,-1235.9253589795983,-577.1411822775136,583.5318405628204
31,-2170.0127191958222,-560.9131423286769,592.6251738071442
32,-1134.2752061926801,-222.62808526080588,574.2742853164673
33,-989.53882781319,-294.62135812510616,585.4357266426086
34,-929.2003240170686,-315.193395199983,587.2946472167969
35,-3209.5578998068104,-853.4016428408415,592.7787578105927
36,-1259.8543734343154,-446.7168141240659,582.5693581104279
37,263.27511478507,-331.9244036467179,584.2826750278473
38,-1897.424110122349,-255.2985441788383,588.2700130939484
39,-1344.9381574547808,-346.6269408516262,581.6784992218018
40,166.90055488503498,-578.4404621953549,583.393476486206
41,-319.29285775060237,-350.90114261793053,599.231614112854
42,-756.8673835422682,-267.8052879001783,599.1338512897491
43,-3184.1680324388585,-530.143798828125,614.1823122501373
44,543.0129346847534,-475.5307935631794,581.8995037078857
45,-560.9049331001613,-1305.9667995287025,607.0332159996033
46,-2774.4084207286005,-551.5331377775773,589.548496723175
47,-1746.2271691819897,-397.6077028357464,615.1730380058289
48,-879.4727079971977,-423.93193518597144,579.883882522583
49,-1100.6261596679688,-332.81335913616675,583.4204206466675
50,-1119.8767713463824,-328.77107703167457,587.469996213913
