epoch,g_loss,d_loss,epoch_time_s
1,-1028.878371881402,-561.7634650106015,627.6135716438293
2,-669.6390321151069,-132.2247251427692,621.9789168834686
3,-751.9251158341118,-273.36881372203,619.3842210769653
4,-1076.675924985305,-807.1867297628652,621.7413644790649
5,-1766.1275714376698,-601.7287869660751,653.8389749526978
6,-1470.1382539168649,-856.5102366571841,654.9643988609314
7,-1340.187016694442,-1222.4400276515794,650.9617660045624
8,-2179.08601414639,-820.3683073624321,686.5568616390228
9,-2556.387058423913,-652.9310946257218,660.5844867229462
10,-5047.567592454993,-1571.1523736041524,650.2162826061249
11,-4600.012122112772,-1166.5786889117696,648.3144512176514
12,-2438.250903585683,-678.7325946973717,653.4604511260986
13,-2665.253507697064,-685.4053868832796,653.5519065856934
14,312.11413039331853,-1460.8260013746178,650.9111649990082
15,-846.4542063837466,-1061.9859287427819,639.8823480606079
16,-1130.330571713655,-382.6109984024711,649.910882472992
17,-1092.4240788998811,-440.12704899000084,645.8943436145782
18,-2216.2608244522758,-333.86541847560716,642.5949940681458
19,-1506.0757870881455,-253.7460181194803,647.22745013237
20,-765.4273540870003,-614.8749150815217,653.71848320961
21,-325.7917781601781,-370.11794612718666,656.5029354095459
22,-4245.953164805536,-638.9193868222444,678.4569952487946
23,162.78380393981934,-1063.0282526430876,675.7461812496185
24,-827.6899231620457,-959.3557480521824,688.3785810470581
25,-1603.5019949208136,-370.26807967476225,685.802484035492
26,-476.4995626781298,-1540.4695772917373,710.9970121383667
27,-1234.9939309825068,-528.2129708994989,714.2345948219299
28,-1034.4160992166271,-349.0833315641984,680.6699683666229
29,-1825.4091730532439,-600.2770302813987,681.73166847229
30,-1214.3216698688009,-778.4392939028533,676.1475350856781
31,-1248.2592375382133,-497.8795783001444,670.0384492874146
32,-2138.9363031801972,-467.0151645826257,678.9918918609619
33,-722.9944852746052,-849.652133775794,664.9374301433563
34,-4016.146038552989,-933.0654854152514,683.6513736248016
35,-819.9844690405804,-1015.1469912321671,671.0177547931671
36,-1324.1770185387652,-1076.440689086914,667.4469082355499
37,-1610.5923727284307,-288.59744362209153,669.6098325252533
38,-1016.5419696310292,-300.74785381814706,665.2055194377899
39,-2076.345459481944,-512.2141212795092,659.6474978923798
40,-1223.7698967975118,-527.7967280512271,662.2303764820099
41,-1665.4997001316237,-270.6269660617994,676.9219942092896
42,-1179.4845727008321,-366.26208960491675,662.7931571006775
43,-3245.698819367782,-671.8811764924423,661.8343334197998
44,-665.4386090817659,-695.8503026547639,685.4743411540985
45,-1820.6804849375849,-425.28711368726647,683.4716839790344
46,51.62590623938519,-892.9430104131284,683.6264789104462
47,-1046.1945246820865,-1545.8283863896909,672.0240182876587
48,-984.517798382303,-358.22839620838994,663.0633926391602
49,-1107.1258478579314,-436.8108566947605,644.3773014545441
50,-109.58563211689825,-641.5950270943019,649.4206728935242
