epoch,g_loss,d_loss,epoch_time_s
1,-1101.3755329380865,-787.6713837229687,614.5140461921692
2,-1428.468884675399,-1252.2173315960429,619.6508238315582
3,-689.3229061624278,-561.5018018639606,686.8167879581451
4,-812.8491011909816,-636.1457055133322,708.5832667350769
5,-3095.786076753036,-1065.1232452392578,709.52365899086
6,-3627.343113111413,-932.8214071522589,694.2105526924133
7,-3539.331744650136,-944.8314023225204,710.9134383201599
8,-3228.1567475692086,-1365.3451485011888,709.2265679836273
9,-2152.1154652471128,-810.3382140449855,702.6584041118622
10,-566.2460164401842,-739.5255591351053,707.4518208503723
11,-1105.6315506644871,-592.4765651537025,703.8193516731262
12,-3339.8013869575834,-1012.6226667321247,709.1429450511932
13,-318.6559138919996,-607.4014720087466,708.4023025035858
14,-796.8305465034816,-641.4386145550271,708.2099611759186
15,-2191.2573301895804,-815.9798836086107,707.3604998588562
16,-1674.6297824693763,-393.8507308959961,706.1556692123413
17,-976.9920445732448,-802.7795629086702,698.1102256774902
18,-987.3595727008322,-720.9272228738536,725.3207437992096
19,-3672.2787687882133,-1122.1781012493632,750.0438301563263
20,-5016.919688349185,-1153.5595928689709,747.2608134746552
21,-2298.2391914699388,-427.03827302352244,743.9463334083557
22,-1921.0034458326256,-653.1544030230979,745.7317268848419
23,-3912.0143406080165,-1007.998661538829,755.6908504962921
24,-3495.6185727326765,-518.1574713665506,756.7729482650757
25,-1408.1158115552819,-343.74994095512056,741.7289323806763
26,-1127.9621183975883,-455.09195808742356,737.6186735630035
27,-2664.9662767493205,-706.4738404647163,755.7898457050323
28,-3330.484656292459,-670.9966490372368,754.3098554611206
29,-2425.1938821543818,-709.977793486222,754.9077932834625
30,-4738.940843665082,-1580.290843134341,748.2323501110077
31,-1467.4016959148905,-500.8282480654509,748.8413977622986
32,-2390.9667106296706,-418.6512743079144,749.640442609787
33,-1618.38073995839,-304.0620574951172,749.2747242450714
34,-1128.876644777215,-304.0211486816406,750.8331801891327
35,-1274.2639425526495,-542.8949452275815,751.0696234703064
36,-924.6901483950408,-375.1067000679348,751.7580137252808
37,-1802.881243498429,-596.9108601445737,753.1476984024048
38,-2618.9716186523438,-618.4843856148098,752.9169583320618
39,-821.899169921875,-301.16273797076684,752.3070154190063
40,-1500.9309549746306,-535.7948243514351,751.8104321956635
41,-3140.898984162704,-843.9552307128906,751.7981929779053
42,-2196.3897413170857,-443.50668069590694,753.2657680511475
43,-1483.0814905581267,-660.7050217338231,755.7545852661133
44,-2979.0340045431385,-618.433807041334,748.991828918457
45,-1240.1315838357677,-279.7358521171238,716.2243659496307
46,-962.3830914290055,-439.78234033999234,648.8690178394318
47,282.10817268620366,-255.75134111487347,646.1273102760315
48,-447.32540827212125,-356.42147163722825,645.5803368091583
49,400.7752392084702,-381.66713581914485,645.9909911155701
50,-418.80334157529086,-464.68911709992784,645.5683007240295
