epoch,g_loss,d_loss,epoch_time_s
1,-860.3347705550816,-528.7949166608894,661.6811554431915
2,-338.3581475796907,-282.25428854900855,672.453794002533
3,-1134.911223370096,-687.7124401590098,661.1507422924042
4,-1465.0857583750849,-456.8636275581692,642.8156068325043
5,-398.012842717378,-985.5298395571501,645.759165763855
6,-1683.8901592752209,-520.7887831978176,657.0970242023468
7,-451.08711707073707,-698.3520972210428,651.2733404636383
8,-951.4057749872622,-665.438165747601,665.5606942176819
9,-823.0473294465438,-293.41328065291697,659.1867625713348
10,-2651.5956407629924,-548.4508122983186,670.5716478824615
11,-3080.8704250169835,-397.85502160113793,638.8182504177094
12,-943.0815060760664,-611.1851325657057,637.9750120639801
13,-529.7489275724992,-421.9479917443317,641.3689289093018
14,-490.5645837576493,-247.74378967285156,654.0961756706238
15,-479.32386282215947,-1199.3033513608186,636.7684843540192
16,-550.0199758280878,-465.7018054464589,636.4305770397186
17,-2327.580556454866,-513.4356878529425,643.1005289554596
18,39.59478314026542,-443.98569024127465,663.0332221984863
19,-1537.9962144934614,-528.9837981514308,643.3015601634979
20,-1213.9219926751177,-756.213158648947,637.8201265335083
21,-671.6652769005817,-1246.1909551205842,644.8991956710815
22,-1139.1423512334409,-461.33810657003653,670.5275223255157
23,-3950.1446161684785,-820.5985697870669,650.6147420406342
24,-1521.4372809451559,-675.9390464451002,664.2127676010132
25,-1807.2160909901495,-1054.1553046185038,667.5348918437958
26,-2108.909839132558,-375.4063720703125,665.6791644096375
27,-1441.8164964758832,-246.34016849683678,657.0841372013092
28,-1052.1900555154552,-668.8058133332626,643.2819294929504
29,387.949916590815,-274.0159918743631,637.3571949005127
30,-492.6374580549157,-414.6378810716712,655.3456463813782
31,523.6966080872909,-237.5542104969854,666.5863914489746
32,-474.8788817032524,-794.8955376666526,657.6653695106506
33,81.70357907336691,-415.716388868249,641.6583280563354
34,-826.8134161078411,-282.4129074760105,639.1971032619476
35,-487.2780073414678,-325.5730239204739,644.0118095874786
36,-53.83211102692977,-756.1914742511252,628.3300452232361
37,-605.8323216230973,-922.8845347528872,640.8695778846741
38,1352.0281431778617,-233.98102304209834,642.3647425174713
39,-1324.9323339876921,-386.11672741433847,640.7590444087982
40,310.4407374755196,-387.31296671991765,639.368266582489
41,1402.6496210512908,-266.2074064171833,648.9249289035797
42,1257.8767225846,-242.90171216881794,653.4617919921875
43,-844.1092147827148,-331.38625601063603,641.5560576915741
44,1170.0811495573623,-219.87239804475203,646.1840975284576
45,892.3700707477072,-207.51948215650475,632.1360714435577
46,858.7694556194803,-301.4185034710428,645.6075658798218
47,28.078022334886633,-662.0044860839844,656.0998437404633
48,525.5487478505011,-462.9897583671238,643.634703874588
49,1226.8217216159987,-267.676445339037,654.9385323524475
50,-297.27673555457073,-701.6242798514988,655.2187855243683
