epoch,g_loss,d_loss,epoch_time_s
1,-974.5880105806434,-669.7401757654936,685.1030888557434
2,-1255.0861060101054,-664.7222455895466,710.6260488033295
3,-1080.6006244991136,-842.2430227528448,713.3891730308533
4,-1745.392769191576,-803.9056529169497,708.4070374965668
5,-1376.0002023448114,-465.12988148564875,704.7776820659637
6,-40.38132368999979,-1228.4776956309443,707.9870653152466
7,-2434.2070179814878,-693.5596479332966,715.0370762348175
8,-4105.1401207965355,-642.1155806831691,744.8001265525818
9,-2546.2173780358357,-414.0768986577573,742.2952346801758
10,-309.9843161831731,-777.3566513061523,733.470725774765
11,-1124.9180271314538,-540.708170020062,742.8955678939819
12,-2625.9794775921364,-365.8219811812691,740.6025428771973
13,-1889.0767693934233,-578.7423915033755,732.6745352745056
14,-1521.9342624830163,-683.1879803201426,722.6935517787933
15,-3529.3946904721465,-546.7181144382643,724.7270450592041
16,-1420.218015919561,-958.1635420426079,712.8979201316833
17,-1645.132809182872,-939.1493317977241,743.4278399944305
18,-3835.1377623184867,-530.8009500918181,741.5647096633911
19,-1460.0392164147418,-831.7525044316831,744.4044334888458
20,-1672.098728345788,-214.1556744782821,745.8452818393707
21,-3412.182135540506,-423.7696463543436,742.1884870529175
22,-2380.4337224545684,-246.76927682627803,744.5840709209442
23,-501.23543498827064,-648.69708119268,728.080507516861
24,-1382.7953199303668,-267.7027070418648,728.8663203716278
25,-966.7718358661817,-270.5425968999448,741.1309552192688
26,-2412.2925569078197,-309.85252546227497,746.6048564910889
27,-493.0017353555431,-633.8778859014096,742.8163878917694
28,-1709.0470209536345,-1152.654148267663,749.2342367172241
29,-2065.026319420856,-321.2981491088867,750.1030566692352
30,-2723.42878656802,-377.85147957179856,748.1343467235565
31,-2069.1813679570737,-1433.3118942924168,745.6127092838287
32,-1154.1745592200239,-352.03632819134253,746.7012920379639
33,-2705.4650427776833,-571.5338582577913,745.827609539032
34,-2361.9078554899797,-281.5340941055961,748.5152308940887
35,-739.747151615827,-724.091421376104,746.301558971405
36,-1725.9065273119056,-494.25063456659734,745.2413814067841
37,-1457.2952283776324,-285.0187132462211,751.704375743866
38,-1592.7809628818345,-558.4433232183042,747.0000922679901
39,-2305.7700991423235,-414.02124487835425,748.6962792873383
40,-4118.0267227836275,-735.1800178859545,745.0376148223877
41,-1011.165211553159,-829.7239472762398,729.9255893230438
42,-2711.544631958008,-402.01141058880347,683.5064091682434
43,-1238.7294138307157,-883.6286037279212,671.1366453170776
44,-2913.3560996677566,-575.912783747134,652.0342161655426
45,-3597.6813609911046,-840.6574866253396,648.8255703449249
46,-1650.9039814161217,-885.3610886283543,645.9884240627289
47,-1293.231414048568,-891.4871836123259,637.5086653232574
48,-3211.7932580035667,-484.0885397869608,636.9472875595093
49,-2532.2562811581984,-631.3839462943699,637.7186982631683
50,-1725.802102793818,-695.404356583305,637.0569016933441
